RA,Latitude,Longitude,station_long_name,Platform,Operational,station_deployment,RA_Funded,Water_temp,Salinity,Wtr_press,Dew_pt,Rel_hum,Air_temp,Winds,Air_press,Precip,Solar_radn,Visibility,Water_level,Waves,Currents,Turbidity,DO,pCO2_water,pCO2_air,TCO2,pH,OmgArag_st,Chl,Nitrate,CDOM,Alkalinity,Acoustics,Raw_Vars,file
AOOS,53.842909,-166.583242,Captains Bay - Dutch Harbor,fixed,Y,2018-12-12 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,60.542375,-145.765979,Cordova,fixed,Y,2017-07-26 00:00:00,Yf,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOOS.xlsx
AOOS,70.22235,-148.419267,"Deadhorse, Prudhoe Bay",fixed,Y,2015-10-01 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,53.883648,-166.531315,Dutch Harbor APL,fixed,Y,2015-05-05 00:00:00,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,53.8891,-166.54212,Dutch Harbor PilotSta,fixed,Y,2018-12-12 00:00:00,Yp,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"air_temperature, air_pressure, dew_point_temperature, relative_humidity,  wind_speed_of_gust,  wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,53.902729,-166.5284,Dutch Harbor - Port Office,fixed,Y,2015-07-02 00:00:00,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,58.971348,-135.220808,Eldred Rock,fixed,Y,2015-05-05 00:00:00,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,63.776913,-171.71531,"Gambell, St. Lawrence Island",fixed,Y,2019-05-31 00:00:00,Yp,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,58.2118,-136.3813,George Island,fixed,Y,2019-12-22 00:00:00,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,55.446433,-131.8810333,Guard Island,fixed,Y,2015-05-05 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,58.407733,-135.726317,Gustavus Dock,fixed,Y,2014-09-19 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,59.234083,-135.441717,Haines Harbor,fixed,Y,2015-09-01 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,59.60206,-151.417436,Homer Spit (Homer Port),fixed,Y,2015-05-05 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,59.92345,-141.358617,Icy Bay,fixed,Y,2015-05-05 00:00:00,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,58.285547,-134.389863,Juneau AML,fixed,Y,2015-05-05 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,58.287244,-134.397994,Juneau AJ Dock,fixed,Y,2017-07-26 00:00:00,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,58.290687,-134.393968,Juneau ANG Dock,fixed,Y,2017-07-26 00:00:00,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,58.298233,-134.404517,Juneau Library,fixed,Y,2017-07-26 00:00:00,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,70.127565,-143.615929,Kaktovik,fixed,Y,2018-08-01 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,60.531856,-151.253022,Kenai,fixed,Y,2015-05-05 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,55.3516,-131.6839,Ketichikan Harbor,fixed,Y,2015-05-05 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,55.3395,-131.644231,"Ketchikan, Salmon Landing",fixed,Y,2017-07-28 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,57.777316,-152.42522,"Kodiak, Gull Island",fixed,N,2016-05-24 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,58.54002,-135.047064,Little Island,fixed,Y,2015-05-05 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,58.1983999,-134.256767,Marmion Island,fixed,Y,2015-05-15 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,55.099116,-131.182097,Mary Island,fixed,Y,2015-05-05 00:00:00,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,58.3641,-134.605917,Mendenhall Valley,fixed,Y,2015-05-05 00:00:00,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,59.437667,-146.327533,Middleton Island,fixed,Y,2015-09-30 00:00:00,Yf,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOOS.xlsx
AOOS,58.301433,-134.42585,MXAK Office,fixed,Y,2015-05-05 00:00:00,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,58.255308,-134.945049,Naked Island,fixed,Y,2015-05-05 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,60.739666,-151.31045,Nikiski,fixed,Y,2015-05-05 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,52.97215,-168.855417,Nikolski White Alice,fixed,Y,2015-05-05 00:00:00,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,64.494037,-165.440035,"Nome, Port Breakwater",fixed,Y,2017-07-26 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,57.015542,-134.618333,Point Gardner ,fixed,Y,2017-05-22 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,58.3464,-134.752283,Portland Island,fixed,Y,2015-05-05 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,58.1953,-134.178,"Point Arden, AK",fixed,Y,2018-12-12 00:00:00,N,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"air_temperature, air_pressure, relative_humidity,  wind_speed, wind_from_direction, battery_voltage",AOOS.xlsx
AOOS,58.177057,-135.051541,Rocky Island,fixed,Y,2015-05-05 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,63.692645,-170.492243,"Savoonga, St. Lawrence Island",fixed,Y,2019-05-31 00:00:00,Yp,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,58.204728,-134.645772,Scull Island,fixed,Y,2015-05-05 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,60.115578,-149.434214,Seward Harbor,fixed,Y,2016-06-06 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,53.5989,-132.2032,Ship Island,fixed,Y,2019-12-22 00:00:00,Yp,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"air_temperature, air_pressure, dew_point_temperature, relative_humidity,  wind_speed_of_gust,  wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,57.116326,-135.390701,Sitka AML,fixed,Y,2016-04-08 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,57.055488,-135.349431,Sitka Harbor,fixed,Y,2016-04-27 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,59.448383,-135.326367,Skagway Port,fixed,Y,2016-02-02 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,57.779208,-135.219228,Tenakee Springs,fixed,Y,2015-05-05 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,54.8026,-130.9344,Tree Point,fixed,Y,2019-12-22 00:00:00,Yp,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,71.314869,-156.72177,Utqiagvik (Barrow),fixed,Y,2015-05-05 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,61.12706,-146.343876,Valdez Port,fixed,Y,2017-07-26 00:00:00,Yf,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOOS.xlsx
AOOS,70.636261,-160.033703,Wainwright,fixed,Y,2018-08-01 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,65.605,-168.0864,Wales,fixed,Y,1/23/2009; 05/05/15,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,60.77673,-148.682278,"Whittier, AMHS ",fixed,Y,2017-05-09 00:00:00,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx
AOOS,59.5973,-151.8291,"Lower Cook Inlet, AK CDIP Wave Buoy 204",wave_buoy,Y,2015-04-13 00:00:00,YP,X,,,,,,,,,,,,X,,,,,,,,,,,,,,"sea_surface_wave_to_direction, sea_surface_wave_mean_period,  sea_surface_wave_significant_height,  sea_surface_dominant_wave_period, sea_water_temperature",AOOS.xlsx
AOOS,57.47945,-151.6953,"NREL Kodiak, AK CDIP Wave Buoy 236",wave_buoy,Y,2017-08-01 00:00:00,Yp,X,,,,,,,,,,,,X,,,,,,,,,,,,,,"sea_surface_wave_significant_height, sea_water_temperature, sea_surface_dominant_wave_period, sea_surface_wave_to_direction, peak_wave_period, sea_surface_wave_mean_period.",AOOS.xlsx
AOOS,64.4723,-165.4743,"Nome, AK CDIP Wave  Buoy 241",wave_buoy,O (seasonal),2018-07-16 00:00:00,Yp,X,,,,,,,,,,,,X,,,,,,,,,,,,,,"sea_surface_wave_significant_height, sea_water_temperature, sea_surface_dominant_wave_period, sea_surface_wave_to_direction, sea_surface_wave_mean_period, ",AOOS.xlsx
AOOS,60.9694,-149.0966,Alyeska Resort Base,fixed,y,2015-05-05 00:00:00,N,,,,,X,X,,,,,,,,,,,,,,,,,,,,,"air_temperature, relative_humidity, preciptation_increment ",AOOS.xlsx
AOOS,60.9483,-149.0871,Alyeska Resort Max's Mountain,fixed,y,2015-05-05 00:00:00,N,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,"air_temperature, relative_humidity,  wind_speed, wind_from_direction, wind_speed_of_gust",AOOS.xlsx
AOOS,60.9724,-149.0819,"Alyeska Resort, Mid Mountain",fixed,y,2015-05-05 00:00:00,N,,,,,X,X,,,,,,,,,,,,,,,,,,,,,"air_temperature, relative_humidity, preciptation_increment, surface_snow_thickness",AOOS.xlsx
AOOS,60.9568,-149.0611,Alyeska Resort Summit,fixed,y,2015-05-05 00:00:00,N,,,,,X,X,X,,,X,,,,,,,,,,,,,,,,,"air_temperature, relative_humidity, solar_radiation, wind_speed, wind_from_direction, wind_speed_of_gust",AOOS.xlsx
AOOS,60.9628,-149.0707,"Alyeska Resort, Top of Glacier Bowl Express",fixed,y,2015-05-05 00:00:00,N,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,"air_temperature, precipitation_increment, winds_speed, wind_from_direction, wind_speed_of_gust",AOOS.xlsx
AOOS,60.0992,-149.4428,Alutiiq Pride Shellfish Hatchery Burke-o-Lator,fixed,Y,1905-07-05 00:00:00,Yp,X,X,,,,,,,,,,,,,,,X,,X,X,X,,,,X,,"dissolved_carbon_dioxide_co2, pco2, omega_aragonite, sea_water_temperature, sea_water_practical_salinity, sea_water_ph_reported_on_total_scale, sea_water_alkalinity_expressed_as_mole_equivalent",AOOS.xlsx
AOOS,57.0526,-135.3456,Sitka Burke-o-Lator,fixed,Y,2017-06-27 00:00:00,Yp,X,X,,,,,,,,,,,,,,,X,,X,X,X,,,,X,,"dissolved_carbon_dioxide_co2, pco2, omega_aragonite, sea_water_temperature, sea_water_practical_salinity, sea_water_ph_reported_on_total_scale, sea_water_alkalinity_expressed_as_mole_equivalent",AOOS.xlsx
AOOS,50.116,-125.222,"Hyacinthe Bay, BC Buke-o-Lator",fixed,Y,2018-06-30 00:00:00,N,X,X,,,,,,,,,,,,,,,X,,X,X,X,,,,X,,"dissolved_carbon_dioxide_co2, pco2, omega_aragonite, sea_water_temperature, sea_water_practical_salinity, sea_water_ph_reported_on_total_scale, sea_water_alkalinity_expressed_as_mole_equivalent",AOOS.xlsx
AOOS,60.793333,-161.745556,Kuskokwim River at Bethel,fixed,Y,2015-05-15 00:00:00,Yp,,,,,,,,,,,,X,,,,,,,,,,,,,,,"height, water_surface_height_above_reference_datum",AOOS.xlsx
AOOS,66.895035,-162.56675,Kotzebue: NOTE -  was to replace KZTA2. Both ran and stopped operating in 2020.,fixed,O,2018-09-05 00:00:00,Yp,,,,,,,,,,,,X,,,,,,,,,,,,,,,"height, water_surface_height_above_reference_datum",AOOS.xlsx
AOOS,66.92682,-162.63506,Kotzebue Sound at Kotzebue,fixed,O,2015-09-22 00:00:00,Yp,,,,,,,,,,,,X,,,,,,,,,,,,,,,"height, water_surface_height_above_reference_datum",AOOS.xlsx
AOOS,60.57065,-165.23786,Tununak,fixed,Y,nan,Yp,,,,,,,,,,,,X,,,,,,,,,,,,,,,"height, water_surface_height_above_reference_datum",AOOS.xlsx
AOOS,60.805,-148.085,"Esther Island, SNOTEL STATION",fixed,Y,2004-10-01 00:00:00,Yp,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount, surface_snow_thickness",AOOS.xlsx
AOOS,60.555,-145.745,"Mt Eyak, SNOTEL STATION",fixed,Y,2004-10-01 00:00:00,Yp,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount, surface_snow_thickness, snow_water_equivalent",AOOS.xlsx
AOOS,60.335,-146.665,"Nuchek, SNOTEL STATION (on McNeil River)",fixed,Y,2004-10-01 00:00:00,Yp,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount",AOOS.xlsx
AOOS,60.055,-148.065,"Port San Juan, SNOTEL STATION",fixed,Y,2004-10-01 00:00:00,Yp,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount",AOOS.xlsx
AOOS,60.875,-146.675,"Tatitlek, SNOTEL STATION",fixed,Y,2004-10-01 00:00:00,Yp,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount",AOOS.xlsx
AOOS,60.435,-147.395,"Seal Island, SNOTEL STATION",fixed,Y,2005-10-01 00:00:00,Yp,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature,  air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount, relative_humidity",AOOS.xlsx
AOOS,60.235,-144.865,"Strawberry Reef, SNOTEL STATION",fixed,Y,2005-10-01 00:00:00,Yp,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount",AOOS.xlsx
AOOS,61.085,-146.295,"Sugarloaf Mtn, SNOTEL STATION",fixed,Y,2006-10-01 00:00:00,Yp,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount, surface_snow_thickness",AOOS.xlsx
