RA,Station ID,WMO ID or NWS/CMAN ID,Station Long Name,Station Description,Latitude (dec deg),Longitude (dec deg),Platform Type,"Station Deployment (mm/yyyy, yyyy, < 5 yr, > 5 yr)","Currently Operational? (Y, N, O, U)",Platform Funder/Sponsor,"RA Funding Involvement (Yf, Yp, N)",Platform Operator/Owner,Operator Sector,Platform Maintainer,Data Manager,"Variable Names + water column depth of measurement in meters [CF_name (# m, # m) or CF_name (mult) or CF_name (# depths)].",Additional notes,,,,,,,,
GCOOS,ioos:station:wmo:42388,42388,42388 - Helix Producer 1 - Green Canyon 237,http://www.ndbc.noaa.gov/station_page.php?station=42388,27.73,-91.109,offshore_platform,Unknown,Y,Unknown,N,Helix,industry,Helix,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42390,42390,Perdido Host - Alaminos Canyon 857,http://www.ndbc.noaa.gov/station_page.php?station=42390,26.129,-94.898,fixed,Unknown,Y,Unknown,N, Shell International E&P,industry, Shell International E&P,GCOOS (info@gcoos.org),"air_pressure, air_temperature,currents,dew_temperature,sea_water_temperature,winds",,,,,,,,,
GCOOS,ioos:station:wmo:42394,42394,42394 - Olympus TLP - Mississippi Canyon 807,https://www.ndbc.noaa.gov/station_page.php?station=42394,28.157,-89.24,offshore_platform,Unknown,Y,Unknown,N,Shell International E&P,industry,Shell International E&P,GCOOS (info@gcoos.org),"sea_water_temperature,currentsair_temperature,dew_temperature,winds",,,,,,,,,
GCOOS,ioos:station:wmo:42395,42395,42395 - Shell Alcyone Buoy - Walker Ridge 552,http://ndbc.noaa.gov/station_page.php?station=42395,26.404,-90.792,fixed,Unknown,Y,Unknown,N, Shell International E&P,industry, Shell International E&P,GCOOS (info@gcoos.org),"air_pressure, air_temperature, dew_temperature, winds, currents",,,,,,,,,
GCOOS,ioos:station:wmo:42396,42396,42396 - Jack and St Malo FPU - Walker Ridge Block 758,https://www.ndbc.noaa.gov/station_page.php?station=42396,26.235,-91.261,fixed,Unknown,Y,Unknown,N, Chevron,industry, Chevron,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42398,42398,42398 - Lucius SPAR - Keathley Canyon 875,https://www.ndbc.noaa.gov/station_page.php?station=42398,26.132,-92.04,fixed,Unknown,Y,Unknown,N,Anadarko Petroleum Corporation,industry,Anadarko Petroleum Corporation,GCOOS (info@gcoos.org),currents,,,,,,,,,
GCOOS,ioos:station:wmo:42851,42851,42851 - Noble Globetrotter I - Walker Ridge 376,https://www.ndbc.noaa.gov/station_page.php?station=42851,26.572,-90.784,offshore_platform,Unknown,Y,Unknown,N, Shell International E&P,industry, Shell International E&P,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42852,42852,42852 - Who Dat FPS - Mississippi Canyon 547,http://www.ndbc.noaa.gov/station_page.php?station=42852,28.501,-89.769,offshore_platform,Unknown,Y,Unknown,N,LLOG,industry,LLOG,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42853,42853,42853 - West Capricorn - Mississippi Canyon 562,https://www.ndbc.noaa.gov/station_page.php?station=42853,28.444,-88.277,offshore_platform,Unknown,Y,Unknown,N, BP Inc,industry, BP Inc,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42857,42857,42857 - Noble Don Taylor - GC 281,https://www.ndbc.noaa.gov/station_page.php?station=42857,27.691,-91.114,offshore_platform,Unknown,Y,Unknown,N, Talos Energy LLC,industry, Talos Energy LLC,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42864,42864,42864 - Thalassa - Walker Ridge 464,http://www.ndbc.noaa.gov/station_page.php?station=42864,26.455,-90.777,offshore_platform,Unknown,Y,Unknown,N,Shell International E&P,industry,Shell International E&P,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42865,42865,Station 42865 - BlackHornet - VK915,http://www.ndbc.noaa.gov/station_page.php?station=42865,28.935,-88.112,offshore_platform,Unknown,Y,Unknown,N, Anadarko Petroleum Corporation,industry, Anadarko Petroleum Corporation,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42873,42873,42873 - Pontus - GB341,https://www.ndbc.noaa.gov/station_page.php?station=42873,27.647,-92.313,offshore_platform,Unknown,Y,Unknown,N, Shell International E&P,industry, Shell International E&P,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42874,42874,42874 - Deepwater Asgard - Atwater Valley 23,https://www.ndbc.noaa.gov/station_page.php?station=42874,27.958,-88.822,offshore_platform,Unknown,Y,Unknown,N,Murphy Exploration & Production Company,industry,Murphy Exploration & Production Company,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42876,42876,Station 42876 - Deepwater Conqueror - Walker Ridge 758,http://www.ndbc.noaa.gov/station_page.php?station=42876,26.297,-91.094,offshore_platform,Unknown,Y,Unknown,N, Chevron,industry, Chevron,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42878,42878,42878 - Noble Paul Romano - Mississippi Canyon 725,https://www.ndbc.noaa.gov/station_page.php?station=42878,28.246,-88.928,offshore_platform,Unknown,Y,Unknown,N, Amerada Hess Corporation,industry, Amerada Hess Corporation,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42879,42879,42879 - Ocean BlackRhino - GC512,https://www.ndbc.noaa.gov/station_page.php?station=42879,27.476,-90.559,offshore_platform,Unknown,Y,Unknown,N, Amerada Hess Corporation,industry, Amerada Hess Corporation,GCOOS (info@gcoos.org),currents,,,,,,,,,
GCOOS,ioos:station:wmo:42880,42880,42880 - West Auriga - Green Canyon 824,https://www.ndbc.noaa.gov/station_page.php?station=42880,27.132,-90.338,offshore_platform,Unknown,Y,Unknown,N, BP Inc,industry, BP Inc,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42884,42884,42884 - Ocean Blackhawk - KC 919,https://www.ndbc.noaa.gov/station_page.php?station=42884,26.078,-92.06,offshore_platform,Unknown,Y,Unknown,N, Anadarko Petroleum Corporation,industry, Anadarko Petroleum Corporation,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42887,42887,42887 - Thunder Horse - Mississippi Canyon 778,url: http://ndbc.noaa.gov/station_page.php?station=42887,28.191,-88.496,offshore_platform,Unknown,Y,Unknown,N, BP Inc,industry, BP Inc,GCOOS (info@gcoos.org),"air_temperature,dew_temeperature,sea_water_temperature,currents,winds,waves",,,,,,,,,
GCOOS,ioos:station:wmo:42891,42891,42891 - West Vela - Mississippi Canyon 775,https://www.ndbc.noaa.gov/station_page.php?station=42891,28.193,-88.61,offshore_platform,Unknown,N,Unknown,N, BP Inc,industry, BP Inc,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42896,42896,42896 - Sevan Louisiana - Green Canyon 243,https://www.ndbc.noaa.gov/station_page.php?station=42896,27.707,-90.786,offshore_platform,Unknown,N,Unknown,N, Walter Oil and Gas Corporation,industry, Walter Oil and Gas Corporation,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42901,42901,Station 42901 - Q5000 - Green Canyon 137,http://www.ndbc.noaa.gov/station_page.php?station=42901,28.195,-88.605,offshore_platform,Unknown,Y,Unknown,N,BP Inc,industry,BP Inc,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42902,42902,42902 - Clyde Boudreaux - Alaminos Canyon 857,http://ndbc.noaa.gov/station_page.php?station=42902,27.56,-90.749,offshore_platform,Unknown,Y,Unknown,N, Shell International E&P,industry, Shell International E&P,GCOOS (info@gcoos.org),"air_temperature,dew_temeperature,currents,winds",,,,,,,,,
GCOOS,ioos:station:wmo:42904,42904,42904 - Independence Hub - Mississippi Canyon 920,url: http://ndbc.noaa.gov/station_page.php?station=42904,28.085,-87.986,offshore_platform,Unknown,N,Unknown,N,Anadarko Petroleum Corporation,industry,Anadarko Petroleum Corporation,GCOOS (info@gcoos.org),currents,,,,,,,,,
GCOOS,ioos:station:wmo:42905,42905,42905 - Belford Dolphin - Green Canyon 561,http://ndbc.noaa.gov/station_page.php?station=42905,27.396,-90.305,offshore_platform,Unknown,Y,Unknown,N,Petrobras - USA,industry,Petrobras - USA,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42906,42906,42906 - Deepwater Poseidon - Mississippi Canyon 612,http://www.ndbc.noaa.gov/station_page.php?station=42906,28.387,-88.002,offshore_platform,Unknown,Y,Unknown,N,Shell International E&P,industry,Shell International E&P,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42917,42917,42917 - Discoverer Inspiration - Green Canyon 641,http://ndbc.noaa.gov/station_page.php?station=42917,27.359,-90.743,offshore_platform,Unknown,Y,Unknown,N, Chevron,industry, Chevron,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42924,42924,42924 - ENSCO 8503 - Mississippi Gulf 214,https://www.ndbc.noaa.gov/station_page.php?station=42924,28.785,-88.089,offshore_platform,Unknown,Y,Unknown,N,Deep Gulf Energy,industry,Deep Gulf Energy,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42928,42928,42928 - ENSCO 8505 - Mississippi Canyon 496,https://www.ndbc.noaa.gov/station_page.php?station=42928,28.933,-88.575,offshore_platform,Unknown,Y,Unknown,N, Marubeni Oil and Gas Inc,industry, Marubeni Oil and Gas Inc,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42931,42931,42931 - Noble Bob Douglas - Green Canyon 364,https://www.ndbc.noaa.gov/station_page.php?station=42931,27.601,-91.354,offshore_platform,Unknown,Y,Unknown,N, ExxonMobil,industry, ExxonMobil,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42932,42932,42932 - Deepwater Invictus - Green Canyon 653,https://www.ndbc.noaa.gov/station_page.php?station=42932,27.327,-90.148,offshore_platform,Unknown,Y,Unknown,N,BHP Billiton,industry,BHP Billiton,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42934,42934,42934 - Pacific Sharav - Mississippi Canyon 607,https://www.ndbc.noaa.gov/station_page.php?station=42934,28.367,-88.248,offshore_platform,Unknown,Y,Unknown,N,Chevron,industry,Chevron,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42935,42935,42935 - Tubular Bells Spar - Green Canyon 724,https://www.ndbc.noaa.gov/station_page.php?station=42935,28.235,-88.995,offshore_platform,Unknown,Y,Unknown,N,Amerada Hess Corporation,industry,Amerada Hess Corporation,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42936,42936,42936 - Rowan Resolute - MC387,https://www.ndbc.noaa.gov/station_page.php?station=42936,28.599,-88.215,offshore_platform,Unknown,Y,Unknown,N, Anadarko Petroleum Corporation,industry, Anadarko Petroleum Corporation,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42937,42937,42937 - Maersk Viking - Mississippi Canyon 211,https://www.ndbc.noaa.gov/station_page.php?station=42937,28.784,-88.235,offshore_platform,Unknown,Y,Unknown,N, ExxonMobil,industry, ExxonMobil,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
