RA,Station_ID,WMO_CMAN_ID,Station_Long_Name,Station_Description,Latitude,Longitude,Platform_Type,Station_Deployment,Currently_Operational,Platform_Funder,RA_Funded,Platform_Operator,Operator_Sector,Platform_Maintainer,Data_Manager,Variable_Names,Additional_notes,file,CARICOOS Contact (Name and Email),RA/Federal Affiliation,Dataset ID,Unnamed: 15,Unnamed: 18
AOOS,urn:ioos:station:org_mxak_dutch_harbor_pilotst,New 2018,Dutch Harbor PilotSta,"Weather, not sure about AIS",53.8891,-166.54212,Fixed,2018-12-12 00:00:00,Y,"AOOS, MXAK",Yp,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"air_temperature, air_pressure, dew_point_temperature, relative_humidity,  wind_speed_of_gust,  wind_gust_from_direction, wind_speed, wind_from_direction","Not sure why this not on 2019 inventory, but we may not have started posting data until 2020. IT happens.",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:DUTCH_HARBOR_PORT_OFFICE,,Dutch Harbor - Port Office,WEATHER (NO AIS),53.902729,-166.5284,Fixed,07/02/15; 5/5/15,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:ELDRED_ROCK, ERXA2,Eldred Rock,AIS STATION WITH WEATHER,58.971348,-135.220808,Fixed,2015-05-05 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:GAMBELL,New,"Gambell, St. Lawrence Island",Weather and AIS eATON/Transceiver ,63.776913,-171.71531,Fixed,2019-05-31 00:00:00,Y,"AOOS, MXAK",Yp,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,org_mxak_george_island,New late 2019,George Island,Weather and AIS    ,58.2118,-136.3813,Fixed,2019-12-22 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",New in late 2019. Not reporting on AOOS until 2020,AOOS.xlsx,,,,,
AOOS,grave-point,New 2021,Grave Point,Weather and AIS,58.0622,-134.0511,Fixed,2021-06-04 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Installed June 2021, but not reporting data on AOOS Portal until December 8, 2021",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:GUARD_ISLAND, GIXA2,Guard Island,WEATHER (NO AIS),55.446433,-131.8810333,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:GUSTAVUS, GUXA2,Gustavus Dock,AIS TRANSCEIVER WITH WEATHER,58.407733,-135.726317,Fixed,9/19/2014; 07/26/2017,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",Need to check install date (2014) vs date AOOS started reporting (July 2017),AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:HAINES, HAXA2,Haines Harbor,AIS TRANSCEIVER WITH WEATHER,59.234083,-135.441717,Fixed,09/01/15; 7/26/2017,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",Need to check install date (2015) vs date AOOS started reporting (July 2017),AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:HOMER_SPIT, HMSA2,Homer Spit (Homer Port),AIS TRANSCEIVER WITH WEATHER,59.60206,-151.417436,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:ICY_BAY,ICYA2,Icy Bay,AIS STATION WITH WEATHER,59.92345,-141.358617,Fixed,2015-05-05 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),"NDBC, AOOS","dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Note: On NDBC Site, this is not referred to as a CMAN. Go to: https://www.ndbc.noaa.gov/to_station.shtml",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:JUNEAU_AML,JMLA2,Juneau AML,AIS TRANSCEIVER WITH WEATHER,58.285547,-134.389863,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Note: On NDBC Site, this is not referred to as a CMAN. Go to: https://www.ndbc.noaa.gov/to_station.shtml",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:JUNEAU_AJ_DOCK, AJXA2,Juneau AJ Dock,Weather (no AIS),58.287244,-134.397994,Fixed,2017-07-26 00:00:00,Y,City and Bororugh of Juneau,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",need to cross check station ,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:JUNEAU_ANG_DOCK,,Juneau ANG Dock,Weather (no AIS),58.290687,-134.393968,Fixed,2017-07-26 00:00:00,Y,City and Bororugh of Juneau,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",need to cross check station ,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:JUNEAU_LIBRARY, JLXA2,Juneau Library,Weather (no AIS),58.298233,-134.404517,Fixed,2017-07-26 00:00:00,Y,City and Bororugh of Juneau,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",need to cross check station ,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:KENAI,,Kenai,AIS TRANSCEIVER WITH WEATHER,60.531856,-151.253022,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:KETCHIKAN, KEXA2,Ketichikan Harbor,Weather,55.3516,-131.6839,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:SALMON_LANDING, SLXA2,"Ketchikan, Salmon Landing",WEATHER  (no AIS),55.3395,-131.644231,Fixed,2017-07-28 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",need to cross check station ,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:LITTLE_ISLAND, LIXA2,Little Island,WEATHER (NO AIS),58.54002,-135.047064,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:MARMION_ISLAND,MRNA2,Marmion Island,WEATHER (NO AIS),58.1983999,-134.256767,Fixed,2015-05-15 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Note: On NDBC Site, this is not referred to as a CMAN. Go to: https://www.ndbc.noaa.gov/to_station.shtml",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:MARY_ISLAND,MRYA2,Mary Island,AIS STATION WITH WEATHER,55.099116,-131.182097,fixed,2015-05-05 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),"NDBC, AOOS","dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Note: On NDBC Site, this is not referred to as a CMAN. Go to: https://www.ndbc.noaa.gov/to_station.shtml",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:MENDENHALL_VALLEY, MVXA2,Mendenhall Valley,AIS STATION WITH WEATHER,58.3641,-134.605917,Fixed,2015-05-05 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,midway-island,New 2021,Midway Island,AIS TRANSCEIVER WITH WEATHER,57.8368,-133.8141,Fixed,2021-06-07 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",Data started at Axiom 12/8/21,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:MXAK_OFFICE, MXXA2,MXAK Office,WEATHER (NO AIS),58.301433,-134.42585,Fixed,2015-05-05 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:NAKED_ISLAND, NKXA2,Naked Island,AIS ATon with WEATHER,58.255308,-134.945049,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:NIKISKI,,Nikiski,AIS STATION WITH WEATHER,60.739666,-151.31045,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:NIKOLSKI,NKLA2,Nikolski White Alice,AIS STATION WITH WEATHER,52.97215,-168.855417,Fixed,2015-05-05 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Note: On NDBC Site, this is not referred to as a CMAN. Go to: https://www.ndbc.noaa.gov/to_station.shtml",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:NOME,,"Nome WX, Port Breakwater",WEATHER  (no AIS); AIS AT DIFFERENT NOME LOCALE,64.494037,-165.440035,Fixed,2017-07-26 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","The weather station is called NOME WX. There is also a webcam there, referred to as NOME Port Entrance.",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:POINT_ARDEN, PAXA2,"Point Arden, AK","Weather, not sure about AIS",58.1953,-134.178,Fixed,2018-12-12 00:00:00,Y,Marine Exchange of Alaska,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),NDBC,"air_temperature, air_pressure, relative_humidity,  wind_speed, wind_from_direction, battery_voltage","Found it on AOOS portal, reporting since 2018, was offline a bit in early 2019, but reporting otherwise.",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:POINT_GARDNER, PGXA2,Point Gardner ,WEATHER (no AIS),57.015542,-134.618333,Fixed,5/22/2017; 07/26/2017,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",need to cross check station ,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:PORTLAND_ISLAND,PTLA2,Portland Island,WEATHER (NO AIS),58.3464,-134.752283,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),"NDBC, AOOS","dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Note: On NDBC Site, this is not referred to as a CMAN. Go to: https://www.ndbc.noaa.gov/to_station.shtml",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:ROCKY_ISLAND, RIXA2,Rocky Island,WEATHER (NO AIS),58.177057,-135.051541,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:SAVOONGA,,"Savoonga, St. Lawrence Island",Weather and AIS eATON/Transceiver ,63.692645,-170.492243,Fixed,2019-05-31 00:00:00,Y,"AOOS, MXAK",Yp,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Stations with Transceivers can transmit weather obs real time to mariners, bypassing the need for internet service. MXAK is upgrading many stations to include ATONs for this purpose, when they install weather sensors. ",AOOS.xlsx,,,,,
AOOS,saxman-seaport,New 2021,Saxman Seaport ,"Weather, not sure about AIS",55.3146,-131.5962,Fixed,2021-01-28 00:00:00,Y,"AOOS, MXAK",Y,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","New installation, not sure if there is AIS here, but likely so.",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:SCULL_ISLAND, SCXA2,Scull Island,WEATHER (NO AIS),58.204728,-134.645772,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:SEWARD_HARBOR,,Seward Harbor,AIS TRANSCEIVER WITH WEATHER,60.115578,-149.434214,Fixed,06/06/16; 7/26/2017,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",need to cross check station ,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org_mxak_ship_island,,Ship Island,Weather and AIS    ,53.5989,-132.2032,Fixed,2019-12-22 00:00:00,Y,"AOOS, MXAK",Yp,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"air_temperature, air_pressure, dew_point_temperature, relative_humidity,  wind_speed_of_gust,  wind_gust_from_direction, wind_speed, wind_from_direction","Installed in 2019, but was not hosting data until late in 2019 after the AI was submitted with the semi-annual report",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:SITKA_AML, STXA2,Sitka AML,AIS TRANSCEIVER WITH WEATHER,57.116326,-135.390701,Fixed,04/08/16; 7/26/2017,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",need to cross check station ,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:SITKA_HARBOR, SHXA2,Sitka Harbor,AIS STATION WITH WEATHER,57.055488,-135.349431,Fixed,04/27/16; 7/26/2017,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",need to cross check station ,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:SKAGWAY_WX, SKXA2,Skagway Port,Weather (no AIS),59.448383,-135.326367,Fixed,02/02/16; 7/26/2017,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",need to cross check station ,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:Tenakee_Springs,TKEA2,Tenakee Springs,AIS STATION WITH WEATHER,57.779208,-135.219228,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),"NDBC, AOOS","dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Note: On NDBC Site, this is not referred to as a CMAN. Go to: https://www.ndbc.noaa.gov/to_station.shtml",AOOS.xlsx,,,,,
AOOS,org_mxak_tree_point,,Tree Point,Weather and AIS eATON/Transceiver ,54.8026,-130.9344,Fixed,2019-12-22 00:00:00,Y,MXAK,Yp,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),"MXAK, AOOS","dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",New in late 2019. Not reporting until after AOOS submitted 2019 AI,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:BARROW,,Utqiagvik (Barrow),AIS TRANSCEIVER WITH WEATHER,71.314869,-156.72177,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
