RA,Latitude,Longitude,station_long_name,Platform,Operational,RA_Funded,Water_temp,Salinity,Wtr_press,Dew_pt,Rel_hum,Air_temp,Winds,Air_press,Precip,Solar_radn,Visibility,Water_level,Waves,Currents,Turbidity,DO,pCO2_water,pCO2_air,TCO2,pH,OmgArag_st,Chl,Nitrate,CDOM,Alkalinity,Acoustics,Raw_Vars,file,geometry
AOOS,58.54002,-135.047064,Little Island,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-135.047064 58.54002)
AOOS,58.1983999,-134.256767,Marmion Island,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-134.256767 58.1983999)
AOOS,55.099116,-131.182097,Mary Island,fixed,Y,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-131.182097 55.099116)
AOOS,58.3641,-134.605917,Mendenhall Valley,fixed,Y,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-134.605917 58.3641)
AOOS,57.8368,-133.8141,Midway Island,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-133.8141 57.8368)
AOOS,58.301433,-134.42585,MXAK Office,fixed,Y,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-134.42585 58.301433)
AOOS,58.255308,-134.945049,Naked Island,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-134.945049 58.255308)
AOOS,60.739666,-151.31045,Nikiski,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-151.31045 60.739666)
AOOS,52.97215,-168.855417,Nikolski White Alice,fixed,Y,N,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-168.855417 52.97215)
AOOS,64.494037,-165.440035,"Nome WX, Port Breakwater",fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-165.440035 64.494037)
AOOS,58.1953,-134.178,"Point Arden, AK",fixed,Y,N,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"air_temperature, air_pressure, relative_humidity,  wind_speed, wind_from_direction, battery_voltage",AOOS.xlsx,POINT (-134.178 58.1953)
AOOS,57.015542,-134.618333,Point Gardner ,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-134.618333 57.015542)
AOOS,58.3464,-134.752283,Portland Island,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-134.752283 58.3464)
AOOS,58.177057,-135.051541,Rocky Island,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-135.051541 58.177057)
AOOS,63.692645,-170.492243,"Savoonga, St. Lawrence Island",fixed,Y,Yp,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-170.492243 63.692645)
AOOS,55.3146,-131.5962,Saxman Seaport ,fixed,Y,Y,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-131.5962 55.3146)
AOOS,58.204728,-134.645772,Scull Island,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-134.645772 58.204728)
AOOS,60.115578,-149.434214,Seward Harbor,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-149.434214 60.115578)
AOOS,53.5989,-132.2032,Ship Island,fixed,Y,Yp,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"air_temperature, air_pressure, dew_point_temperature, relative_humidity,  wind_speed_of_gust,  wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-132.2032 53.5989)
AOOS,57.116326,-135.390701,Sitka AML,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-135.390701 57.116326)
AOOS,57.055488,-135.349431,Sitka Harbor,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-135.349431 57.055488)
AOOS,59.448383,-135.326367,Skagway Port,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-135.326367 59.448383)
AOOS,57.779208,-135.219228,Tenakee Springs,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-135.219228 57.779208)
AOOS,54.8026,-130.9344,Tree Point,fixed,Y,Yp,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-130.9344 54.8026)
AOOS,71.314869,-156.72177,Utqiagvik (Barrow),fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-156.72177 71.314869)
AOOS,70.636261,-160.033703,Wainwright,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-160.033703 70.636261)
AOOS,55.401833,-131.7293,Ward Cove,fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-131.7293 55.401833)
AOOS,60.77673,-148.682278,"Whittier, AMHS ",fixed,Y,Yf,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",AOOS.xlsx,POINT (-148.682278 60.77673)
AOOS,59.5973,-151.8291,"Lower Cook Inlet, AK CDIP Wave Buoy 204",wave_buoy,Y,YP,X,,,,,,,,,,,,X,,,,,,,,,,,,,,"sea_surface_wave_to_direction, sea_surface_wave_mean_period,  sea_surface_wave_significant_height,  sea_surface_dominant_wave_period, sea_water_temperature",AOOS.xlsx,POINT (-151.8291 59.5973)
AOOS,60.9694,-149.0966,Alyeska Resort Base,fixed,y,N,,,,,X,X,,,,,,,,,,,,,,,,,,,,,"air_temperature, relative_humidity, preciptation_increment ",AOOS.xlsx,POINT (-149.0966 60.9694)
AOOS,60.9483,-149.0871,Alyeska Resort Max's Mountain,fixed,y,N,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,"air_temperature, relative_humidity,  wind_speed, wind_from_direction, wind_speed_of_gust",AOOS.xlsx,POINT (-149.0871 60.9483)
AOOS,60.9724,-149.0819,"Alyeska Resort, Mid Mountain",fixed,y,N,,,,,X,X,,,,,,,,,,,,,,,,,,,,,"air_temperature, relative_humidity, preciptation_increment, surface_snow_thickness",AOOS.xlsx,POINT (-149.0819 60.9724)
AOOS,60.9568,-149.0611,Alyeska Resort Summit,fixed,y,N,,,,,X,X,X,,,X,,,,,,,,,,,,,,,,,"air_temperature, relative_humidity, solar_radiation, wind_speed, wind_from_direction, wind_speed_of_gust",AOOS.xlsx,POINT (-149.0611 60.9568)
AOOS,60.9628,-149.0707,"Alyeska Resort, Top of Glacier Bowl Express",fixed,y,N,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,"air_temperature, precipitation_increment, winds_speed, wind_from_direction, wind_speed_of_gust",AOOS.xlsx,POINT (-149.0707 60.9628)
AOOS,57.0526,-135.3456,Sitka Burke-o-Lator,fixed,O  ,Yp,X,X,,,,,,,,,,,,,,,X,,X,X,X,,,,X,,"dissolved_carbon_dioxide_co2, pco2, omega_aragonite, sea_water_temperature, sea_water_practical_salinity, sea_water_ph_reported_on_total_scale, sea_water_alkalinity_expressed_as_mole_equivalent",AOOS.xlsx,POINT (-135.3456 57.0526)
AOOS,50.116,-125.222,"Hyacinthe Bay, BC Buke-o-Lator",fixed,Y,N,X,X,,,,,,,,,,,,,,,X,,X,X,X,,,,X,,"dissolved_carbon_dioxide_co2, pco2, omega_aragonite, sea_water_temperature, sea_water_practical_salinity, sea_water_ph_reported_on_total_scale, sea_water_alkalinity_expressed_as_mole_equivalent",AOOS.xlsx,POINT (-125.222 50.116)
AOOS,58.19884,-136.64081,"Cape Spencer, AK",fixed,Y,"N (install, OnM);  Y  (AOOS paid for conversion of GNSS-R data for Water Level)",,,,,,,,,,,,X,,,,,,,,,,,,,,,sea_surface_height_above_sea_level,AOOS.xlsx,POINT (-136.64081 58.19884)
AOOS,63.484,-162.0064,"St. Michaels Bay, AK",fixed,Y,Yf (AOOS funded the installation); Yp UNAVCO is payin for data filtration costs,,,,,,,,,,,,X,,,,,,,,,,,,,,,sea_surface_height_above_sea_level,AOOS.xlsx,POINT (-162.0064 63.484)
AOOS,60.793333,-161.745556,Kuskokwim River at Bethel,fixed,Y,Yp,,,,,,,,,,,,X,,,,,,,,,,,,,,,"height, water_surface_height_above_reference_datum",AOOS.xlsx,POINT (-161.745556 60.793333)
AOOS,66.0746,-162.7215,Deering,fixed,Y,Yp,,,,,,,,,,,,X,,,,,,,,,,,,,,,sea_surface_height_above_sea_level,AOOS.xlsx,POINT (-162.7215 66.0746)
AOOS,59.6055,-151.4221,Homer Ramp 8 AK Water Level,fixed,Y,Yp,,,,,,,,,,,,X,,,,,,,,,,,,,,,sea_surface_height_above_sea_level,AOOS.xlsx,POINT (-151.4221 59.6055)
AOOS,66.895035,-162.56675,Kotzebue: NOTE -  was to replace KZTA2. This station is also on Stevnes Way Bridge.,fixed,O,Yp,,,,,,,,,,,,X,,,,,,,,,,,,,,,sea_surface_height_above_sea_level,AOOS.xlsx,POINT (-162.56675 66.895035)
AOOS,59.8798,-163.1663,Kwigillingok,fixed,Y,Yp,,,,,,,,,,,,X,,,,,,,,,,,,,,,sea_surface_height_above_sea_level,AOOS.xlsx,POINT (-163.1663 59.8798)
AOOS,58.7321,-156.9833,Naknek ,fixed,Y,Yf,,,,,,,,,,,,X,,,,,,,,,,,,,,,sea_surface_height_above_sea_level,AOOS.xlsx,POINT (-156.9833 58.7321)
AOOS,56.0041,-161.1751,Nelson Lagoon,fixed,Y,Yp,,,,,,,,,,,,X,,,,,,,,,,,,,,,sea_surface_height_above_sea_level,AOOS.xlsx,POINT (-161.1751 56.0041)
AOOS,60.5782,-165.2692,Tununak at Tununak,fixed,O,Yp,,,,,,,,,,,,X,,,,,,,,,,,,,,,"height, water_surface_height_above_reference_datum",AOOS.xlsx,POINT (-165.2692 60.5782)
AOOS,60.805,-148.085,"Esther Island, SNOTEL STATION",fixed,Y,Yp,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount, surface_snow_thickness",AOOS.xlsx,POINT (-148.085 60.805)
AOOS,60.555,-145.745,"Mt Eyak, SNOTEL STATION",fixed,Y,Yp,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount, surface_snow_thickness, snow_water_equivalent",AOOS.xlsx,POINT (-145.745 60.555)
AOOS,60.335,-146.665,"Nuchek, SNOTEL STATION (on McNeil River)",fixed,Y,Yp,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount",AOOS.xlsx,POINT (-146.665 60.335)
AOOS,60.055,-148.065,"Port San Juan, SNOTEL STATION",fixed,Y,Yp,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount",AOOS.xlsx,POINT (-148.065 60.055)
AOOS,60.875,-146.675,"Tatitlek, SNOTEL STATION",fixed,Y,Yp,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount",AOOS.xlsx,POINT (-146.675 60.875)
AOOS,60.435,-147.395,"Seal Island, SNOTEL STATION",fixed,Y,Yp,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature,  air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount, relative_humidity",AOOS.xlsx,POINT (-147.395 60.435)
AOOS,60.235,-144.865,"Strawberry Reef, SNOTEL STATION",fixed,Y,Yp,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount",AOOS.xlsx,POINT (-144.865 60.235)
AOOS,61.085,-146.295,"Sugarloaf Mtn, SNOTEL STATION",fixed,Y,Yp,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,"battery_voltage, air_temperature, solar_radiation, air_pressure, wind_speed, wind_speed_of_gust, wind_from_direction, lwe_thickness_of_precipitation_amount, surface_snow_thickness",AOOS.xlsx,POINT (-146.295 61.085)
AOOS,59.7724134,-151.83665552,"Cook Inletkeeper, Anchor River",fixed,Y,N,X,,,,,X,,,,,,,,,,,,,,,,,,,,,"air_temperature, sea_water_temperature, panel_temperature, battery_voltage",AOOS.xlsx,POINT (-151.83665552 59.7724134)
AOOS,59.7983,-144.5999,Cape St. Elias,fixed,Y,N,,,,,,X,X,X,,X,,,,,,,,,,,,,,,,,"air_pressure, air_temperature, relataive_humdity, solar_irradiance, wind_speed_of_gust, wind_speed, wind_from_direction, battery_voltage",AOOS.xlsx,POINT (-144.5999 59.7983)
AOOS,61.091,-146.3766,Valdez Marine Terminal Weather Buoy,moored_buoy,Y,N,X,,X,,X,X,X,X,,X,,,X,X,,,,,,,,,,,,,"air_pressure, sea_water_velocity_to_direction, sea_water_speed, eastward_sea_water_velocity, northward_sea_water_velocity, upward_sea_water_velocity, relative_humidity, solar_irradiance, sea_water_pressure, air_temperature, sea_water_temperature, sea_surface_wave_directional_spread, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_surface_wave_from_direction, sea_surface_wave_maximum_height, sea_surface_wave_significant_height, wind_speed_of_gust, wind_speed, wind_from_direction, ",AOOS.xlsx,POINT (-146.3766 61.091)
