RA,Station_ID,WMO_CMAN_ID,Station_Long_Name,Station_Description,Latitude,Longitude,Platform_Type,Station_Deployment,Currently_Operational,Platform_Funder,RA_Funded,Platform_Operator,Operator_Sector,Platform_Maintainer,Data_Manager,Variable_Names,Additional_notes,file,Dataset (ERDDAP) ID
AOOS,urn:ioos:station:org.mxak:ANCHORAGE_PORT,APMA2,Anchorage Port,AIS TRANSCEIVER WITH WEATHER,61.238746,-149.888778,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,org_mxak_bethel,BEXA2,Bethel,Weather (not sure if there is AIS there),60.7915,-161.7487,Fixed,2019-12-28 00:00:00,Y,AOOS,Yp,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",New in 2019 but AOOS not reporting until 2020,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:CAPE_DECISION, CDXA2,Cape Decision,AIS STATION WITH WEATHER,56.001483,-134.136,Fixed,2015-05-05 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",went offline August 2020. Back online in 2021.,AOOS.xlsx,
AOOS,cape-spencer-1,CSXA2,Cape Spencer,AIS STATION WITH WEATHER,58.1988,-136.6401,Fixed,2021-06-22 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Installed in June 2021, but data did not start on AOOS Portal until December 8, 2021",AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:CAPTAINS_BAY,CPXA2,Captains Bay - Dutch Harbor,WEATHER (No AIS),53.842909,-166.583242,Fixed,2018-12-12 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:CORDOVA_WX,,Cordova,AIS TRANSCEIVER WITH WEATHER ,60.542375,-145.765979,Fixed,2017-07-26 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,,,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:DEAD_HORSE,DHXA2,"Deadhorse, Prudhoe Bay",AIS TRANSCEIVER WITH WEATHER,70.22235,-148.419267,Fixed,10/01/15; 9/30/2015,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","AOOS webstie record starts September 15, 2015. It was installed Spring of 2015",AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:DUTCH_HARBOR_APL,DPLA2,Dutch Harbor APL,WEATHER (NO AIS),53.883648,-166.531315,Fixed,05/05/15; 4/16/2015,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,urn:ioos:station:org_mxak_dutch_harbor_pilotst,DPXA2,Dutch Harbor PilotSta,"Weather, not sure about AIS",53.8891,-166.54212,Fixed,2018-12-12 00:00:00,Y,"AOOS, MXAK",Yp,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"air_temperature, air_pressure, dew_point_temperature, relative_humidity,  wind_speed_of_gust,  wind_gust_from_direction, wind_speed, wind_from_direction","Not sure why this not on 2019 inventory, but we may not have started posting data until 2020. IT happens.",AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:DUTCH_HARBOR_PORT_OFFICE,DPOA2,Dutch Harbor - Port Office,WEATHER (NO AIS),53.902729,-166.5284,Fixed,07/02/15; 5/5/15,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:ELDRED_ROCK, ERXA2,Eldred Rock,AIS STATION WITH WEATHER,58.971348,-135.220808,Fixed,2015-05-05 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:GAMBELL,BGBXA2,"Gambell, St. Lawrence Island",Weather and AIS eATON/Transceiver ,63.776913,-171.71531,Fixed,2019-05-31 00:00:00,Y,"AOOS, MXAK",Yp,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,org_mxak_george_island,GEXA2,George Island,Weather and AIS    ,58.2118,-136.3813,Fixed,2019-12-22 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",New in late 2019. Not reporting on AOOS until 2020,AOOS.xlsx,
AOOS,grave-point,GPXA2,Grave Point,Weather and AIS,58.0622,-134.0511,Fixed,2021-06-04 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Installed June 2021, but not reporting data on AOOS Portal until December 8, 2021",AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:GUARD_ISLAND, GIXA2,Guard Island,WEATHER (NO AIS),55.446433,-131.8810333,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:GUSTAVUS, GUXA2,Gustavus Dock,AIS TRANSCEIVER WITH WEATHER,58.407733,-135.726317,Fixed,9/19/2014; 07/26/2017,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",Need to check install date (2014) vs date AOOS started reporting (July 2017),AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:HAINES, HAXA2,Haines Harbor,AIS TRANSCEIVER WITH WEATHER,59.234083,-135.441717,Fixed,09/01/15; 7/26/2017,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",Need to check install date (2015) vs date AOOS started reporting (July 2017),AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:HOMER_SPIT, HMSA2,Homer Spit (Homer Port),AIS TRANSCEIVER WITH WEATHER,59.60206,-151.417436,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:ICY_BAY,ICYA2,Icy Bay,AIS STATION WITH WEATHER,59.92345,-141.358617,Fixed,2015-05-05 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),"NDBC, AOOS","dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Note: On NDBC Site, this is not referred to as a CMAN. Go to: https://www.ndbc.noaa.gov/to_station.shtml",AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:JUNEAU_AML,JMLA2,Juneau AML,AIS TRANSCEIVER WITH WEATHER,58.285547,-134.389863,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Note: On NDBC Site, this is not referred to as a CMAN. Go to: https://www.ndbc.noaa.gov/to_station.shtml",AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:JUNEAU_AJ_DOCK, AJXA2,Juneau AJ Dock,Weather (no AIS),58.287244,-134.397994,Fixed,2017-07-26 00:00:00,Y,City and Bororugh of Juneau,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",need to cross check station ,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:JUNEAU_ANG_DOCK,JNGA2,Juneau ANG Dock,Weather (no AIS),58.290687,-134.393968,Fixed,2017-07-26 00:00:00,Y,City and Bororugh of Juneau,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",need to cross check station ,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:JUNEAU_LIBRARY, JLXA2,Juneau Library,Weather (no AIS),58.298233,-134.404517,Fixed,2017-07-26 00:00:00,Y,City and Bororugh of Juneau,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",need to cross check station ,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:KENAI,KNXA2,Kenai,AIS TRANSCEIVER WITH WEATHER,60.531856,-151.253022,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:KETCHIKAN, KEXA2,Ketichikan Harbor,Weather,55.3516,-131.6839,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:SALMON_LANDING, SLXA2,"Ketchikan, Salmon Landing",WEATHER  (no AIS),55.3395,-131.644231,Fixed,2017-07-28 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,king-cove-ak-kcxa2,KCXA2,King Cove,Weather,55.0566,-162.3263,Fixed,2023-04-20 00:00:00,Y,AOOS,Yp,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",new in 2023,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:KODIAK_GULL_ISLAND,KGXA2,"Kodiak, Gull Island",WEATHER (NO AIS),57.777316,-152.42522,Fixed,5/24/2016; 12/12/18,N,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,kodiak_matson_crane,KMXA2,Kodiak Matson Crane,Weather (AIS Status unknown),57.7821,-152.4338,Fixed,2021-01-28 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,kotzebue-sound-ak,KOZA2,"Kotzebue Sound, AK","Weather, AIS",66.9009,-162.5895,Fixed,2023-02-28 00:00:00,Y,MXAK,,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",new in 2023,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:LITTLE_ISLAND, LIXA2,Little Island,WEATHER (NO AIS),58.54002,-135.047064,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:MARMION_ISLAND,MRNA2,Marmion Island,WEATHER (NO AIS),58.1983999,-134.256767,Fixed,2015-05-15 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Note: On NDBC Site, this is not referred to as a CMAN. Go to: https://www.ndbc.noaa.gov/to_station.shtml",AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:MARY_ISLAND,MRYA2,Mary Island,AIS STATION WITH WEATHER,55.099116,-131.182097,fixed,2015-05-05 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),"NDBC, AOOS","dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Note: On NDBC Site, this is not referred to as a CMAN. Go to: https://www.ndbc.noaa.gov/to_station.shtml",AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:MENDENHALL_VALLEY, MVXA2,Mendenhall Valley,AIS STATION WITH WEATHER,58.3641,-134.605917,Fixed,2015-05-05 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:MIDDLETON_ISLAND,,Middleton Island,AIS TRANSCEIVER WITH WEATHER,59.437667,-146.327533,Fixed,2015-09-30 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,,,AOOS.xlsx,
AOOS,midway-island,MIXA2,Midway Island,AIS TRANSCEIVER WITH WEATHER,57.8368,-133.8141,Fixed,2021-06-07 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",Data started at Axiom 12/8/21,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:MXAK_OFFICE, MXXA2,MXAK Office,WEATHER (NO AIS),58.301433,-134.42585,Fixed,2015-05-05 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:NAKED_ISLAND, NKXA2,Naked Island,AIS ATon with WEATHER,58.255308,-134.945049,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,nelson-lagoon-1,NLXA2,Nelson Lagoon,Weather (AIS Status unknown),56.005,-161.1772,Fixed,2021-01-21 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:NIKISKI,NSXA2,Nikiski,AIS STATION WITH WEATHER,60.739666,-151.31045,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,
