RA,Station_ID,WMO_CMAN_ID,Station_Long_Name,Station_Description,Latitude,Longitude,Platform_Type,Station_Deployment,Currently_Operational,Platform_Funder,RA_Funded,Platform_Operator,Operator_Sector,Platform_Maintainer,Data_Manager,Variable_Names,Additional_notes,file,Time Period,"CARICOOS Contact
(Name and Email)",Dataset (ERDDAP) ID
CARICOOS,MAGUEYES,IMGP4,"Isla Magueyes, PR",,17.9694,-67.0442,Fixed,,No,CARICOOS,N,CARICOOS ,Academia/Non-Profit,CARICOOS,NDBC  / CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",Damaged by Hurricane Maria,CARICOOS.xlsx,10/2015 - 9/2017,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,MAGUEYES,F2397,"Isla Magueyes, PR",,17.9644,-67.0442,Fixed,,No,CARICOOS,Yf,CARICOOS ,Academia/Non-Profit,CARICOOS,Gladstone / CARICOOS,"wind_speed (8 m), wind_speed_of_gust (8 m), wind_from_direction (8 m), air_temperature (8 m), air_pressure (8 m), relative_humidity (8 m)",Replaced IMGP4 station,CARICOOS.xlsx,10/2018 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,PYC,E7791,Ponce Yatch Club - Ponce - Puerto Rico,,17.9644,-66.6177,Fixed,,Operational,CARICOOS,Yf,CARICOOS ,Academia/Non-Profit,CARICOOS,Gladstone / CARICOOS,"wind_speed (15 m), wind_speed_of_gust (15 m), wind_from_direction (15 m), air_temperature (15 m), air_pressure (15 m), relative_humidity (15 m)",Replaced by XIMG (WaetherFlow),CARICOOS.xlsx,12/2018 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,FCR,E7866,Faro de Cabo Rojo - Cabo Rojo - Puerto Rico,,17.9335,-67.192,Fixed,,No,CARICOOS,Yf,CARICOOS ,Academia/Non-Profit,CARICOOS,Gladstone / CARICOOS,"wind_speed (3 m), wind_speed_of_gust (3 m), wind_from_direction (3 m), air_temperature (3 m), air_pressure (3 m), relative_humidity (3 m)",Replaced by XCRL (Weatherflow Inc.),CARICOOS.xlsx,12/2018 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,TPR,E9889,Tres Palmas Reserve - Rincon - Puerto Rico,,18.347,-67.2613,Fixed,,Operational,CARICOOS,Yf,CARICOOS ,Academia/Non-Profit,CARICOOS,Gladstone / CARICOOS,"wind_speed (3 m), wind_speed_of_gust (3 m), wind_from_direction (3 m), air_temperature (3 m), air_pressure (3 m), relative_humidity (3 m)",,CARICOOS.xlsx,12/2018 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XAGU,TJGU,"Jetty Aguadilla, PR",,18.43295,-67.15663,Fixed,,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,2009 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XAMA,TIMA,"Charlotte Amalie Harbor, USVI",,18.3303,-64.9264,Fixed,,No,Weatherflow /CARICOOS,N,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,2009 - 2015,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XBRO,TIRO,"Two Brothers, USVI",,18.34291,-64.8173,Fixed,,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,2009 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XBUK,TIUK,"Buck Island, USVI",,18.27823,-64.8926,Fixed,,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,2009 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XCDP,TJDP,"Cabo Rojo, PR (CWOP EW7866)",,18.09995,-67.18887,Fixed,,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,JUR,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XCRX,TIRX,"Sandy Point NWR, USVI",,17.67771,-64.89989,Fixed,,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,2009 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XCUL,TJUL,Culebrita Island,,18.3137,-65.22742,Fixed,,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,2016 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XGUR,TJUR,"Gurabo, PR",,18.25623,-65.99167,Fixed,,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m),precipitation (accumulated)",,CARICOOS.xlsx,2009 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XJUA,TJUA,"San Juan, PR",,18.45512,-66.12846,Fixed,,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,2009 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XMRS,TJRS,"Las Mareas, Guayama, PR",,17.92859,-66.1597,Fixed,,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,2009 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XREY,TJEY,"Marina Puerto del Rey, Fajardo, PR",,18.28938,-65.632,Fixed,,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m),precipitation (accumulated)",,CARICOOS.xlsx,2009 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XRUP,TIMA,"Ruperts Rock, USVI",,18.32817,-64.92661,Fixed,,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,2015 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XSAV,TIAC,"Savanah Island, USVI",,18.33737,-65.083,Fixed,,No,Weatherflow /CARICOOS,N,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",Decomissioned by Weatherflow because it got damaged by Hurricane Maria.,CARICOOS.xlsx,2009 - 2017,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XWGO,TIGO,"Crown Mountain, USVI",,18.35537,-64.96693,Fixed,,No,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)","This station was replaced with Crown Mountain, St. Thomas, USVI (XWGO) and later with Water Island, St. Thomas, USVI (XWTR) station.",CARICOOS.xlsx,2009 - 2017,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XYAB,TJAB,"Yabucoa-El Negro, PR",,18.05245,-65.82809,Fixed,,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m),precipitation (accumulated)",,CARICOOS.xlsx,2009 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,,,"Mountain Top, USVI",,18.36,-64.95,Fixed,,No,Weatherflow /CARICOOS/OCOVI,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS/OCOVI,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)","This station was relocated to Water Island, St. Thomas, USVI identified now as XWTR.",CARICOOS.xlsx,2019-present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XIMG,,"Isla Magueyes, PR",,17.9689,-67.0438,Fixed,,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m),precipitation (accumulated)",,CARICOOS.xlsx,2023/09-present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XCRL,,"Faro de Cabo Rojo,PR",,17.9333,-67.1919,Fixed,,Operational,Weatherflow /CARICOOS,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",,CARICOOS.xlsx,2023/09-present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XWTR,,"Water Island, USVI",,18.3075,-64.95667,Fixed,,Operational,Weatherflow /CARICOOS/OCOVI,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS/OCOVI,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m),precipitation (accumulated)",,CARICOOS.xlsx,2023/03-present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
CARICOOS,XMCO,," Maricao, Puerto Rico",,18.1442,-66.98,Fixed,,Operational,Weatherflow /CARICOOS/OCOVI,Yf,CARICOOS,Industry,CARICOOS,Weatherflow /CARICOOS,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m),precipitation (accumulated)",,CARICOOS.xlsx,2024/07- present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
GCOOS,ioos:station:CBI:042,,042: Nueces Delta 2: Nueces Delta 2,https://lighthouse.tamucc.edu/overview/042,27.8888,-97.5696,fixed,>5 yr,Y,Unknown,N,The Coastal Bend Bays & Estuaries Program,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:069,,069: Nueces Delta Weather Station,https://lighthouse.tamucc.edu/overview/069,27.8976,-97.6165,fixed,>5 yr,Y,Unknown,N,Guadalupe Blanco River Authority (GBRA),academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:072,,"072: SALT01 (Nueces Bay, Texas): SALT01 (Nueces Bay, Texas)",https://lighthouse.tamucc.edu/overview/072,27.839194,-97.443972,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"mass_concentration_of_oxygen_in_sea_water, sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:074,,"074: SALT03 (Nueces Bay, Texas): SALT03 (Nueces Bay, Texas)",https://lighthouse.tamucc.edu/overview/074,27.85155,-97.48203,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"mass_concentration_of_oxygen_in_sea_water, sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:076,,"076: SALT05 (Nueces River, Texas): SALT05 (Nueces River, Texas)",https://lighthouse.tamucc.edu/overview/076,27.89183,-97.61045,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:127,,127: GBRA Station #1,https://lighthouse.tamucc.edu/stnattr/127,28.2598,-96.7737,fixed,>5 yr,Y,Unknown,N,Guadalupe Blanco River Authority (GBRA),academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity, mass_concentration_of_oxygen_in_sea_water, sea_water_practical_salinity, turbidity, sea_water_temperature",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:130,,130: GBRA Station #2,https://lighthouse.tamucc.edu/overview/130,28.4073,-96.7122,fixed,>5 yr,Y,Unknown,N,Guadalupe Blanco River Authority (GBRA),academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:138,,138: Packery Current Meter #2,https://lighthouse.tamucc.edu/overview/138,27.6228,-97.2154,fixed,>5 yr,Y,Unknown,N,USACE - The Coastal & Hydraulics Laboratory,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"sea_water_speed, upward_sea_water_velocity, direction_of_sea_water_velocity",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:170,,170: National Park Service - Baffin Bay: National Park Service - Baffin Bay,https://lighthouse.tamucc.edu/overview/170,27.29702,-97.40491,fixed,>5 yr,Y,Unknown,N,United States National Park Service,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"mass_concentration_of_oxygen_in_sea_water, sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:171,,171: National Park Service - Bird Island: National Park Service - Bird Island,https://lighthouse.tamucc.edu/overview/171,27.4847,-97.3181,fixed,>5 yr,Y,Unknown,N,United States National Park Service,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"mass_concentration_of_oxygen_in_sea_water, sea_water_practical_salinity, sea_water_temperature",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:185,,185: Nueces Bay,https://lighthouse.tamucc.edu/overview/185,27.8328,-97.486,fixed,>5 yr,Y,Unknown,N,Guadalupe Blanco River Authority (GBRA),academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, sea_water_temperature, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:236,,236: Corpus Christi Meteorological TAMUCC,https://lighthouse.tamucc.edu/overview/236,27.7151,-97.3288,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:242,,242: Oso Creek Water Level Station #1,https://lighthouse.tamucc.edu/overview/242,27.7217,-97.4579,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:243,,243: Oso Creek Water Level Station #2,https://lighthouse.tamucc.edu/overview/243,27.6888,-97.4293,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:244,,244: Oso Creek Water Level Station #3,https://lighthouse.tamucc.edu/overview/244,27.6569,-97.4016,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,,,
GCOOS,ioos:station:CBI:256,,256: Corpus Christi Meteorological Station #7,https://lighthouse.tamucc.edu/overview/256,27.8678,-97.6318,fixed,>5 yr,Y,Unknown,N,City of Corpus Christi Salinity Monitoring,academic,"Conrad Blutcher Institute, TAMUCC",Niall Durham (niall.durham@tamucc.edu),"air_pressure, air_temperature, relative_humidity, wind_speed, wind_to_direction, wind_speed_of_gust",,GCOOS.xlsx,,,
